icd10_code,name,department,is_notifiable,reporting_body,report_timeframe
I10,Hypertension,General Medicine,false,,
I48,Atrial Fibrillation,General Medicine,false,,
I50,Heart Failure,General Medicine,false,,
I83,Varicose Veins,General Surgery,false,,
J03.9,Acute Tonsillitis,ENT,false,,
J04.0,Laryngitis,ENT,false,,
J06,Upper Respiratory Tract Infection,General Medicine,false,,
J06.9,Acute URTI,Paediatrics,false,,
J09,Influenza due to novel virus (incl. H1N1),Medicine,true,IDSP,24h
J10,"Influenza, seasonal",Medicine,true,IDSP,weekly
J20,Acute Bronchitis,Paediatrics,false,,
J30,Allergic Rhinitis,ENT,false,,
J32,Chronic Sinusitis,ENT,false,,
J33,Nasal Polyp,ENT,false,,
J34.2,Deviated Nasal Septum,ENT,false,,
J35.0,Tonsillitis,Paediatrics,false,,
J35.2,Adenoid Hypertrophy,ENT,false,,
J38.2,Vocal Cord Nodule,ENT,false,,
J44,COPD,General Medicine,false,,
J45,Bronchial Asthma,General Medicine,false,,
K11,Salivary Gland Swelling,ENT,false,,
K21,GERD/Dyspepsia,General Medicine,false,,
K27,Peptic Ulcer Disease,General Medicine,false,,
K29.5,Chronic Gastritis,General Medicine,false,,
K37,Acute Appendicitis,General Surgery,false,,
K40,Inguinal Hernia,General Surgery,false,,
K42,Umbilical Hernia,General Surgery,false,,
K58,Irritable Bowel Syndrome,General Medicine,false,,
K59.0,Constipation,General Medicine,false,,
K60.2,Anal Fissure,General Surgery,false,,
K60.3,Fistula-in-Ano,General Surgery,false,,
K62.3,Rectal Prolapse,General Surgery,false,,
K64,Haemorrhoids,General Surgery,false,,
K74,Chronic Liver Disease,General Medicine,false,,
K80,Cholelithiasis,General Surgery,false,,
L02.9,Cutaneous Abscess,General Surgery,false,,
L03,Cellulitis,Skin,false,,
L05,Pilonidal Sinus,General Surgery,false,,
L20,Childhood Eczema,Paediatrics,false,,
L21,Seborrhoeic Dermatitis,Skin,false,,
L25,Contact Dermatitis,Skin,false,,
L27.0,Drug Eruption,Skin,false,,
L40,Psoriasis,Skin,false,,
L43,Lichen Planus,Skin,false,,
L50,Urticaria,Skin,false,,
L60.0,Ingrown Toenail,General Surgery,false,,
L65,Alopecia,Skin,false,,
L70,Acne Vulgaris,Skin,false,,
L71,Rosacea,Skin,false,,
L72.1,Sebaceous Cyst,General Surgery,false,,
L73.9,Folliculitis,Skin,false,,
L80,Vitiligo,Skin,false,,
L81,Pigmentation Disorder,Skin,false,,
L81.1,Melasma,Skin,false,,
M06,Rheumatoid Arthritis,Orthopedics,false,,
M10,Gout,General Medicine,false,,
M19,Osteoarthritis,Orthopedics,false,,
M25.3,Knee Pain,Orthopedics,false,,
M25.5,Hip Pain,Orthopedics,false,,
M30.3,Kawasaki Disease,Paediatrics,false,,
M32,Systemic Lupus Erythematosus,General Medicine,false,,
M41,Scoliosis,Orthopedics,false,,
M47.8,Cervical Spondylosis,Orthopedics,false,,
M51.1,Lumbar Disc Prolapse,Orthopedics,false,,
M54.5,Low Back Pain,Orthopedics,false,,
M72.2,Plantar Fasciitis,Orthopedics,false,,
M75.0,Frozen Shoulder,Orthopedics,false,,
M75.1,Shoulder Impingement,Orthopedics,false,,
M77,Tendinitis,Orthopedics,false,,
M81,Osteoporosis,Orthopedics,false,,
M84.3,Tibial Stress Fracture,Orthopedics,false,,
N18,Chronic Kidney Disease,General Medicine,false,,
N39.0,Urinary Tract Infection,General Medicine,false,,
N43,Hydrocele,General Surgery,false,,
N60,Breast Disorder (Benign),Gyn,false,,
N63,Breast Lump,General Surgery,false,,
N73,Pelvic Inflammatory Disease,Gyn,false,,
N75.0,Bartholin Cyst,Gyn,false,,
N80,Endometriosis,Gyn,false,,
N81,Uterine Prolapse,Gyn,false,,
N83.2,Ovarian Cyst,Gyn,false,,
N84.1,Cervical Polyp,Gyn,false,,
N86,Cervical Erosion,Gyn,false,,
N89,Vaginal Discharge,Gyn,false,,
N89.8,Leucorrhoea,Gyn,false,,
N90,Vulvar Disorder,Gyn,false,,
N91,Amenorrhoea,Gyn,false,,
N92,Menstrual Disorder,Gyn,false,,
N93,Dysfunctional Uterine Bleed,Gyn,false,,
N94,Pelvic Pain,Gyn,false,,
N94.3,Premenstrual Syndrome,Gyn,false,,
N95.1,Menopausal Syndrome,Gyn,false,,
N97,Infertility,Gyn,false,,
O09,High Risk Pregnancy,OBST,false,,
O13,Pregnancy-Induced Hypertension,OBST,false,,
O20,Threatened Abortion,OBST,false,,
O21,Hyperemesis Gravidarum,OBST,false,,
O24.4,Gestational Diabetes,OBST,false,,
O32.1,Breech Presentation Follow-up,OBST,false,,
O36.5,Intrauterine Growth Restriction,OBST,false,,
O41.0,Oligohydramnios,OBST,false,,
O42,PROM (Premature Rupture of Membranes),OBST,false,,
O44,Placenta Praevia,OBST,false,,
O60,Preterm Labour,OBST,false,,
O72,Post-Partum Haemorrhage Follow-up,OBST,false,,
O99.0,Anaemia in Pregnancy,OBST,false,,
P59,Neonatal Jaundice Follow-up,Paediatrics,false,,
R04.0,Epistaxis,ENT,false,,
R10,Acute Abdomen,Casuality,false,,
R10.4,Infantile Colic,Paediatrics,false,,
R21,Skin Rash,Paediatrics,false,,
R42,Vertigo,General Medicine,false,,
R49.0,Voice Hoarseness,ENT,false,,
R50,Acute Fever,Paediatrics,false,,
R50.9,Acute Undifferentiated Fever,General Medicine,false,,
R52,Acute Pain,Casuality,false,,
R56.0,Febrile Seizure,Paediatrics,false,,
R59.0,Cervical Lymphadenopathy,ENT,false,,
R62.8,Failure to Thrive,Paediatrics,false,,
S05,Ocular Trauma,Casuality,false,,
S09.9,Head Injury,Casuality,false,,
S29.9,Blunt Chest Trauma,Casuality,false,,
T14,Acute Sports Injury,Orthopedics,false,,
T14.1,Laceration/Wound,Casuality,false,,
T14.2,Fracture,Casuality,false,,
T14.3,Sprain/Strain,Casuality,false,,
T16,Foreign Body in Ear / Nose,ENT,false,,
T18,Foreign Body Ingestion,Casuality,false,,
T63.0,Snake Bite,Casuality,false,,
T63.2,Scorpion Sting,Casuality,false,,
T63.4,Bee/Wasp Sting,Casuality,false,,
T75.1,Near-Drowning,Casuality,false,,
T75.4,Electrical Injury,Casuality,false,,
U07.1,COVID-19,Medicine,true,IDSP/IHIP,24h
W54.0,Animal bite (rabies risk),Casualty,true,IDSP,24h
W55.8,Cat / Monkey Bite,Casuality,false,,
Z09,Post-Operative Review,General Surgery,false,,
Z34,Antenatal Care - Normal,OBST,false,,
Z39,Post-natal Follow-up,OBST,false,,
