test,analyte,unit,normal_low,normal_high,critical_low,critical_high,category
VDRL,VDRL,,,,,,Microbiology
RPR,RPR,,,,,,Microbiology
Widal,Widal,,,,,,Microbiology
Typhidot IgM,Typhidot IgM,,,,,,Pathology
Leptospira IgM,Leptospira IgM,,,,,,Pathology
Scrub Typhus IgM,Scrub Typhus IgM,,,,,,Pathology
Malaria RDT,Malaria RDT,,,,,,Pathology
Mantoux,Mantoux,,,,,,Microbiology
Sputum AFB,Sputum AFB,,,,,,Microbiology
H. pylori,H. pylori,,,,,,Pathology
H. pylori Stool Antigen,H. pylori Stool Antigen,,,,,,Pathology
ANA,ANA,,,,,,Biochemistry
HLA-B27,HLA-B27,,,,,,Pathology
RF,RF,,,,,,Pathology
Stool Occult Blood,Stool Occult Blood,,,,,,Pathology
Beta-hCG (qualitative),Beta-hCG (qualitative),,,,,,Pathology
UPT,UPT,,,,,,Pathology
Urine HCG,Urine HCG,,,,,,Pathology
KOH,KOH,,,,,,Microbiology
KOH (skin scraping),KOH (skin scraping),,,,,,Pathology
GCT,GCT,,,,,,Biochemistry
