state_code,state_name,scheme_name,generic_name,coverage
DL,Delhi,Delhi Free Medicine Scheme,ondansetron,free
DL,Delhi,Delhi Free Medicine Scheme,ors,free
DL,Delhi,Delhi Free Medicine Scheme,iron,free
DL,Delhi,Delhi Free Medicine Scheme,folic,free
DL,Delhi,Delhi Free Medicine Scheme,salbutamol,free
DL,Delhi,Delhi Free Medicine Scheme,prednisolone,free
DL,Delhi,Delhi Free Medicine Scheme,ibuprofen,free
DL,Delhi,Delhi Free Medicine Scheme,diclofenac,free
DL,Delhi,Delhi Free Medicine Scheme,cetirizine,free
DL,Delhi,Delhi Free Medicine Scheme,furosemide,free
DL,Delhi,Delhi Free Medicine Scheme,aspirin,free
DL,Delhi,Delhi Free Medicine Scheme,thiamine,free
DL,Delhi,Delhi Free Medicine Scheme,vitamin,free
KL,Kerala,KMSCL Free Medicines,paracetamol,free
KL,Kerala,KMSCL Free Medicines,amoxicillin,free
KL,Kerala,KMSCL Free Medicines,amoxicillin_clav,free
KL,Kerala,KMSCL Free Medicines,azithromycin,free
KL,Kerala,KMSCL Free Medicines,ciprofloxacin,free
KL,Kerala,KMSCL Free Medicines,metronidazole,free
KL,Kerala,KMSCL Free Medicines,cefixime,free
KL,Kerala,KMSCL Free Medicines,ceftriaxone,free
KL,Kerala,KMSCL Free Medicines,doxycycline,free
KL,Kerala,KMSCL Free Medicines,amlodipine,free
KL,Kerala,KMSCL Free Medicines,atenolol,free
KL,Kerala,KMSCL Free Medicines,losartan,free
KL,Kerala,KMSCL Free Medicines,telmisartan,free
KL,Kerala,KMSCL Free Medicines,metformin,free
KL,Kerala,KMSCL Free Medicines,glimepiride,free
KL,Kerala,KMSCL Free Medicines,insulin,free
KL,Kerala,KMSCL Free Medicines,atorvastatin,free
KL,Kerala,KMSCL Free Medicines,omeprazole,free
KL,Kerala,KMSCL Free Medicines,pantoprazole,free
KL,Kerala,KMSCL Free Medicines,ondansetron,free
KL,Kerala,KMSCL Free Medicines,ors,free
KL,Kerala,KMSCL Free Medicines,iron,free
KL,Kerala,KMSCL Free Medicines,folic,free
KL,Kerala,KMSCL Free Medicines,salbutamol,free
KL,Kerala,KMSCL Free Medicines,prednisolone,free
KL,Kerala,KMSCL Free Medicines,ibuprofen,free
KL,Kerala,KMSCL Free Medicines,diclofenac,free
KL,Kerala,KMSCL Free Medicines,cetirizine,free
KL,Kerala,KMSCL Free Medicines,furosemide,free
KL,Kerala,KMSCL Free Medicines,aspirin,free
KL,Kerala,KMSCL Free Medicines,thiamine,free
KL,Kerala,KMSCL Free Medicines,vitamin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,paracetamol,free
MH,Maharashtra,Maharashtra Essential Drug Supply,amoxicillin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,amoxicillin_clav,free
MH,Maharashtra,Maharashtra Essential Drug Supply,azithromycin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,ciprofloxacin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,metronidazole,free
MH,Maharashtra,Maharashtra Essential Drug Supply,cefixime,free
MH,Maharashtra,Maharashtra Essential Drug Supply,ceftriaxone,free
MH,Maharashtra,Maharashtra Essential Drug Supply,doxycycline,free
MH,Maharashtra,Maharashtra Essential Drug Supply,amlodipine,free
MH,Maharashtra,Maharashtra Essential Drug Supply,atenolol,free
MH,Maharashtra,Maharashtra Essential Drug Supply,losartan,free
MH,Maharashtra,Maharashtra Essential Drug Supply,telmisartan,free
MH,Maharashtra,Maharashtra Essential Drug Supply,metformin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,glimepiride,free
MH,Maharashtra,Maharashtra Essential Drug Supply,insulin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,atorvastatin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,omeprazole,free
MH,Maharashtra,Maharashtra Essential Drug Supply,pantoprazole,free
MH,Maharashtra,Maharashtra Essential Drug Supply,ondansetron,free
MH,Maharashtra,Maharashtra Essential Drug Supply,ors,free
MH,Maharashtra,Maharashtra Essential Drug Supply,iron,free
MH,Maharashtra,Maharashtra Essential Drug Supply,folic,free
MH,Maharashtra,Maharashtra Essential Drug Supply,salbutamol,free
MH,Maharashtra,Maharashtra Essential Drug Supply,prednisolone,free
MH,Maharashtra,Maharashtra Essential Drug Supply,ibuprofen,free
MH,Maharashtra,Maharashtra Essential Drug Supply,diclofenac,free
MH,Maharashtra,Maharashtra Essential Drug Supply,cetirizine,free
MH,Maharashtra,Maharashtra Essential Drug Supply,furosemide,free
MH,Maharashtra,Maharashtra Essential Drug Supply,aspirin,free
MH,Maharashtra,Maharashtra Essential Drug Supply,thiamine,free
MH,Maharashtra,Maharashtra Essential Drug Supply,vitamin,free
KA,Karnataka,KSMSCL Free Drug Supply,paracetamol,free
KA,Karnataka,KSMSCL Free Drug Supply,amoxicillin,free
KA,Karnataka,KSMSCL Free Drug Supply,amoxicillin_clav,free
KA,Karnataka,KSMSCL Free Drug Supply,azithromycin,free
KA,Karnataka,KSMSCL Free Drug Supply,ciprofloxacin,free
KA,Karnataka,KSMSCL Free Drug Supply,metronidazole,free
KA,Karnataka,KSMSCL Free Drug Supply,cefixime,free
KA,Karnataka,KSMSCL Free Drug Supply,ceftriaxone,free
KA,Karnataka,KSMSCL Free Drug Supply,doxycycline,free
KA,Karnataka,KSMSCL Free Drug Supply,amlodipine,free
KA,Karnataka,KSMSCL Free Drug Supply,atenolol,free
KA,Karnataka,KSMSCL Free Drug Supply,losartan,free
KA,Karnataka,KSMSCL Free Drug Supply,telmisartan,free
KA,Karnataka,KSMSCL Free Drug Supply,metformin,free
KA,Karnataka,KSMSCL Free Drug Supply,glimepiride,free
KA,Karnataka,KSMSCL Free Drug Supply,insulin,free
KA,Karnataka,KSMSCL Free Drug Supply,atorvastatin,free
KA,Karnataka,KSMSCL Free Drug Supply,omeprazole,free
KA,Karnataka,KSMSCL Free Drug Supply,pantoprazole,free
KA,Karnataka,KSMSCL Free Drug Supply,ondansetron,free
KA,Karnataka,KSMSCL Free Drug Supply,ors,free
KA,Karnataka,KSMSCL Free Drug Supply,iron,free
KA,Karnataka,KSMSCL Free Drug Supply,folic,free
KA,Karnataka,KSMSCL Free Drug Supply,salbutamol,free
KA,Karnataka,KSMSCL Free Drug Supply,prednisolone,free
KA,Karnataka,KSMSCL Free Drug Supply,ibuprofen,free
KA,Karnataka,KSMSCL Free Drug Supply,diclofenac,free
KA,Karnataka,KSMSCL Free Drug Supply,cetirizine,free
KA,Karnataka,KSMSCL Free Drug Supply,furosemide,free
KA,Karnataka,KSMSCL Free Drug Supply,aspirin,free
KA,Karnataka,KSMSCL Free Drug Supply,thiamine,free
KA,Karnataka,KSMSCL Free Drug Supply,vitamin,free
GJ,Gujarat,GMSCL Free Medicine,paracetamol,free
GJ,Gujarat,GMSCL Free Medicine,amoxicillin,free
GJ,Gujarat,GMSCL Free Medicine,amoxicillin_clav,free
GJ,Gujarat,GMSCL Free Medicine,azithromycin,free
GJ,Gujarat,GMSCL Free Medicine,ciprofloxacin,free
GJ,Gujarat,GMSCL Free Medicine,metronidazole,free
GJ,Gujarat,GMSCL Free Medicine,cefixime,free
GJ,Gujarat,GMSCL Free Medicine,ceftriaxone,free
GJ,Gujarat,GMSCL Free Medicine,doxycycline,free
GJ,Gujarat,GMSCL Free Medicine,amlodipine,free
GJ,Gujarat,GMSCL Free Medicine,atenolol,free
GJ,Gujarat,GMSCL Free Medicine,losartan,free
GJ,Gujarat,GMSCL Free Medicine,telmisartan,free
GJ,Gujarat,GMSCL Free Medicine,metformin,free
GJ,Gujarat,GMSCL Free Medicine,glimepiride,free
GJ,Gujarat,GMSCL Free Medicine,insulin,free
GJ,Gujarat,GMSCL Free Medicine,atorvastatin,free
GJ,Gujarat,GMSCL Free Medicine,omeprazole,free
GJ,Gujarat,GMSCL Free Medicine,pantoprazole,free
GJ,Gujarat,GMSCL Free Medicine,ondansetron,free
GJ,Gujarat,GMSCL Free Medicine,ors,free
GJ,Gujarat,GMSCL Free Medicine,iron,free
GJ,Gujarat,GMSCL Free Medicine,folic,free
GJ,Gujarat,GMSCL Free Medicine,salbutamol,free
GJ,Gujarat,GMSCL Free Medicine,prednisolone,free
GJ,Gujarat,GMSCL Free Medicine,ibuprofen,free
GJ,Gujarat,GMSCL Free Medicine,diclofenac,free
GJ,Gujarat,GMSCL Free Medicine,cetirizine,free
GJ,Gujarat,GMSCL Free Medicine,furosemide,free
GJ,Gujarat,GMSCL Free Medicine,aspirin,free
GJ,Gujarat,GMSCL Free Medicine,thiamine,free
GJ,Gujarat,GMSCL Free Medicine,vitamin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,paracetamol,free
UP,Uttar Pradesh,UP Free Medicine Scheme,amoxicillin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,amoxicillin_clav,free
UP,Uttar Pradesh,UP Free Medicine Scheme,azithromycin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,ciprofloxacin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,metronidazole,free
UP,Uttar Pradesh,UP Free Medicine Scheme,cefixime,free
UP,Uttar Pradesh,UP Free Medicine Scheme,ceftriaxone,free
UP,Uttar Pradesh,UP Free Medicine Scheme,doxycycline,free
UP,Uttar Pradesh,UP Free Medicine Scheme,amlodipine,free
UP,Uttar Pradesh,UP Free Medicine Scheme,atenolol,free
UP,Uttar Pradesh,UP Free Medicine Scheme,losartan,free
UP,Uttar Pradesh,UP Free Medicine Scheme,telmisartan,free
UP,Uttar Pradesh,UP Free Medicine Scheme,metformin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,glimepiride,free
UP,Uttar Pradesh,UP Free Medicine Scheme,insulin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,atorvastatin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,omeprazole,free
UP,Uttar Pradesh,UP Free Medicine Scheme,pantoprazole,free
UP,Uttar Pradesh,UP Free Medicine Scheme,ondansetron,free
UP,Uttar Pradesh,UP Free Medicine Scheme,ors,free
UP,Uttar Pradesh,UP Free Medicine Scheme,iron,free
UP,Uttar Pradesh,UP Free Medicine Scheme,folic,free
UP,Uttar Pradesh,UP Free Medicine Scheme,salbutamol,free
UP,Uttar Pradesh,UP Free Medicine Scheme,prednisolone,free
UP,Uttar Pradesh,UP Free Medicine Scheme,ibuprofen,free
UP,Uttar Pradesh,UP Free Medicine Scheme,diclofenac,free
UP,Uttar Pradesh,UP Free Medicine Scheme,cetirizine,free
UP,Uttar Pradesh,UP Free Medicine Scheme,furosemide,free
UP,Uttar Pradesh,UP Free Medicine Scheme,aspirin,free
UP,Uttar Pradesh,UP Free Medicine Scheme,thiamine,free
UP,Uttar Pradesh,UP Free Medicine Scheme,vitamin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,paracetamol,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,amoxicillin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,amoxicillin_clav,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,azithromycin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,ciprofloxacin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,metronidazole,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,cefixime,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,ceftriaxone,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,doxycycline,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,amlodipine,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,atenolol,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,losartan,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,telmisartan,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,metformin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,glimepiride,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,insulin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,atorvastatin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,omeprazole,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,pantoprazole,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,ondansetron,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,ors,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,iron,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,folic,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,salbutamol,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,prednisolone,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,ibuprofen,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,diclofenac,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,cetirizine,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,furosemide,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,aspirin,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,thiamine,free
MP,Madhya Pradesh,MP Nishulk Dawa Vitaran,vitamin,free
WB,West Bengal,Fair Price Medicine Shops (FPMS),paracetamol,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),amoxicillin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),amoxicillin_clav,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),azithromycin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),ciprofloxacin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),metronidazole,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),cefixime,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),ceftriaxone,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),doxycycline,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),amlodipine,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),atenolol,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),losartan,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),telmisartan,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),metformin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),glimepiride,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),insulin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),atorvastatin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),omeprazole,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),pantoprazole,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),ondansetron,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),ors,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),iron,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),folic,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),salbutamol,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),prednisolone,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),ibuprofen,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),diclofenac,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),cetirizine,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),furosemide,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),aspirin,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),thiamine,subsidised
WB,West Bengal,Fair Price Medicine Shops (FPMS),vitamin,subsidised
